k	mean
5	545.6
5	384.6
5	299.4
5	801.2
5	555.4
5	558.8
5	746.6
5	489.4
5	531.4
5	600.0
10	520.7
10	421.8
10	388.7
10	709.7
10	524.4
10	563.5
10	592.6
10	570.8
10	606.7
10	584.0
25	535.72
25	464.16
25	417.04
25	597.36
25	415.12
25	553.0
25	532.28
25	461.76
25	619.24
25	504.64
50	493.12
50	527.42
50	478.26
50	581.44
50	474.2
50	554.66
50	533.66
50	471.02
50	617.98
50	546.16
100	508.35
100	516.97
100	500.18
100	551.25
100	466.09
100	533.28
100	535.43
100	468.09
100	554.43
100	491.25
200	521.465
200	502.135
200	502.31
200	516.91
200	497.21
200	517.675
200	515.035
200	488.98
200	520.275
200	500.3
1000	502.716
1000	503.764
1000	491.119
1000	515.392
1000	490.873
1000	508.85
1000	513.855
1000	502.715
1000	502.663
1000	493.867
2000	510.8975
2000	502.4085
2000	491.3395
2000	504.054
2000	495.945
2000	503.3735
2000	508.4615
2000	495.8835
2000	506.664
2000	496.1005
